gene_class,symbol,geneid,samp1,samp2,samp3,samp4,samp5,samp6,samp7,samp8,samp9,samp10,samp11,samp12
Endogenous,ECHS1,NM_004092.3,398,34,82,371,50,27,62,51,71,58,98,76
Endogenous,FAHD1,NM_031208.3,384,35,67,252,53,57,64,29,64,47,71,72
Endogenous,ITGAM,NM_000632.3,774,54,94,405,17,27,85,86,280,45,66,290
Endogenous,MLST8,NM_001199173.1,1038,50,86,661,47,47,76,61,103,65,129,105
Endogenous,MLYCD,NM_012213.2,299,49,100,173,51,30,62,59,73,43,74,70
Endogenous,NFAT5,NM_173214.1,357,52,89,280,34,29,62,60,73,29,104,100
Endogenous,PRKAB2,NM_005399.3,485,50,93,238,67,40,71,63,75,33,97,93
Endogenous,SHMT1,NM_148918.1,842,40,69,527,50,37,60,57,66,59,75,62
Endogenous,SLC2A8,NM_014580.3,346,68,165,192,70,17,71,43,109,30,143,101
Endogenous,STAM2,NM_005843.4,529,51,92,342,71,19,47,53,75,39,104,76
Endogenous,ZNF136,NM_003437.2,444,43,87,177,68,18,65,69,89,41,96,110
Endogenous,AKT1S1,NM_032375.3,430,34,74,291,55,27,74,44,74,45,85,87
Endogenous,GCDH,NM_000159.2,534,32,64,391,48,29,63,54,69,41,84,73
Endogenous,GCLC,NM_001498.2,604,27,72,401,53,14,48,58,69,41,90,66
Endogenous,GLYCTK,NR_026700.1,332,36,80,114,49,36,82,60,66,16,95,79
Endogenous,ITGA1,NM_181501.1,1667,80,97,1218,9,9,52,77,267,35,17,175
Endogenous,LY96,NM_015364.2,162,27,45,81,43,49,84,87,80,64,80,88
Endogenous,MAP3K12,NM_006301.2,222,38,72,140,50,50,77,66,67,28,101,94
Endogenous,SLC2A1,NM_006516.2,476,31,106,318,50,23,79,56,75,26,98,73
Endogenous,TELO2,NM_016111.3,869,42,95,463,58,44,59,47,78,43,86,84
Endogenous,UCK1,NM_031432.3,694,35,81,419,59,37,50,62,71,44,89,70
Endogenous,ZNF43,NM_003423.2,51,155,194,86,101,103,147,287,16,23,40,34
Endogenous,ACSF3,NR_045667.2,247,40,55,109,58,33,56,40,31,18,80,90
Endogenous,CDCA8,NM_018101.2,1242,40,93,658,42,7,43,53,68,61,105,44
Endogenous,HSF2,NM_001135564.1,546,44,65,438,44,13,49,61,62,42,65,58
Endogenous,IL2RA,NM_000417.1,15379,41,15,16305,10,16,84,102,572,138,19,195
Endogenous,RAD51,NM_133487.2,1337,36,87,834,47,10,45,35,98,77,76,65
Endogenous,RPTOR,NM_020761.2,1065,31,87,592,62,22,61,40,36,22,101,87
Endogenous,TIGAR,NM_020375.2,236,14,56,130,58,17,53,27,31,21,81,59
Endogenous,TP63,NM_003722.4,11,67,56,14,48,77,101,48,69,27,179,100
Endogenous,UQCR11,NM_006830.2,416,25,57,275,53,38,64,48,44,42,81,76
Endogenous,ZNF253,NM_021047.2,325,28,57,207,48,27,64,44,61,27,69,69
Endogenous,ABL1,NM_005157.3,563,31,77,316,57,23,49,46,45,26,90,80
Endogenous,ASS1,NM_000050.4,51,23,64,23,48,27,52,57,36,22,58,70
Endogenous,FAH,NM_000137.1,1035,36,92,842,10,14,37,39,123,58,32,75
Endogenous,HRAS,NM_005343.2,454,47,76,266,36,27,57,46,47,31,58,65
Endogenous,IL10,NM_000572.2,85,27,43,106,65,4,20,19,58,33,69,66
