gene_class,symbol,geneid,samp1,samp2,samp3,samp4,samp5,samp6,samp7,samp8,samp9,samp10,samp11,samp12
Endogenous,MTHFD1,NM_005956.2,3679,222,309,3814,262,55,302,269,1184,881,453,459
Endogenous,MTHFS,NM_006441.2,650,59,93,638,116,50,99,102,241,218,148,126
Endogenous,MX1,NM_002462.2,2788,169,169,3635,170,50,205,300,2114,628,258,639
Endogenous,MYC,NM_002467.3,959,55,57,1301,80,86,76,107,153,142,80,82
Endogenous,NAA20,NM_016100.3,1353,86,117,1403,126,54,140,135,320,275,178,170
Endogenous,NCAPH,NM_015341.3,3009,141,267,2917,170,21,148,226,663,544,350,224
Endogenous,NEK2,NM_002497.3,1073,60,115,874,74,19,59,76,179,172,140,100
Endogenous,NFAT5,NM_173214.1,446,73,99,553,102,42,95,112,389,334,161,180
Endogenous,NFIL3,NM_005384.2,570,126,243,664,56,9,115,161,658,205,78,213
Endogenous,OAS1,NM_001032409.1,902,57,67,1198,77,19,68,82,525,244,110,261
Endogenous,OAS3,NM_006187.2,1390,93,114,1730,162,44,152,176,958,477,159,385
Endogenous,OASL,NM_198213.1,180,145,136,232,205,32,190,175,598,331,221,313
Endogenous,OAT,NM_000274.3,739,70,94,692,100,40,86,114,265,207,145,128
Endogenous,OMA1,NM_145243.3,487,56,120,406,100,39,99,95,182,202,137,124
Endogenous,PDHA1,NM_000284.3,842,91,111,1010,131,55,114,109,275,310,148,137
Endogenous,PPAT,NM_002703.3,1263,56,90,1415,82,24,63,84,253,204,147,98
Endogenous,RDH14,NM_020905.3,369,56,72,375,102,26,68,77,161,131,113,109
Endogenous,SCD,NM_005063.4,675,65,67,1052,178,36,91,92,270,310,191,303
Endogenous,SLAMF7,NM_021181.4,698,111,74,609,365,17,212,117,207,271,430,198
Endogenous,SLC27A3,NM_024330.1,262,76,147,249,92,31,101,109,276,222,142,148
Endogenous,SMC2,NM_001042551.1,3466,184,308,3123,201,41,170,213,701,698,360,269
Endogenous,SOS2,NM_006939.2,351,75,135,371,108,32,112,95,296,228,133,131
Endogenous,STAM,NR_037774.1,483,60,57,692,64,27,61,89,223,274,125,119
Endogenous,STAT2,NM_005419.3,256,58,61,267,66,43,65,91,189,160,92,110
Endogenous,STAT4,NM_003151.2,1209,133,137,1144,95,29,184,205,630,528,151,229
Endogenous,TFB2M,NM_022366.2,602,73,93,722,81,45,99,109,235,197,130,114
Endogenous,TGFBR1,NM_004612.2,1363,85,198,1282,202,34,153,150,408,395,239,270
Endogenous,TGIF2,NM_021809.6,621,61,111,739,89,22,84,79,204,144,107,99
Endogenous,TICAM1,NM_014261.1,712,102,148,767,127,33,182,146,443,305,184,265
Endogenous,TIGIT,NM_173799.2,65,417,824,44,709,226,541,439,1266,1090,940,577
Endogenous,TIMM17A,NM_006335.2,1799,132,171,1969,185,53,162,213,436,374,246,270
Endogenous,TIMM23,NM_006327.2,1945,115,142,2053,149,47,159,195,438,392,235,210
Endogenous,TNFRSF9,NM_001561.4,195,231,414,411,133,18,167,148,562,431,427,184
Endogenous,TOLLIP,NM_019009.2,342,65,141,359,108,52,134,107,313,254,172,134
Endogenous,TOMM6,NM_001134493.1,1012,76,151,1003,146,37,111,125,250,233,201,188
Endogenous,TRAF6,NM_145803.2,244,69,94,240,108,55,99,124,207,154,165,126
Endogenous,TRAV12-3,TCRVA_020.1,542,146,7,502,139,72,78,181,88,104,61,416
Endogenous,TRAV17,TCRVA_025.1,1316,270,195,1423,142,42,364,380,827,3838,787,461
Endogenous,TRAV19,TCRVA_027.1,1155,499,192,1119,80,20,272,153,712,1357,608,166
Endogenous,TRAV26-1,TCRVA_034.1,927,311,201,1010,131,49,109,171,428,307,290,667
Endogenous,TRAV29,TCRVA_037.1,429,112,131,401,132,12,59,174,183,368,215,337
Endogenous,TRAV3,TCRVA_004.1,584,99,110,512,1252,24,401,170,592,83,344,110
Endogenous,TRAV4,TCRVA_005.1,680,61,403,655,469,16,277,130,506,357,716,288
Endogenous,TRAV8-3,TCRVA_011.1,483,72,73,490,48,87,247,310,909,682,296,500
Endogenous,TRBV28,TCRVB_045.1,1499,540,103,1535,871,52,818,353,720,8007,298,4198
Endogenous,TRBV7-3,TCRVB_019.1,591,110,56,641,110,68,152,122,274,281,25,152
Endogenous,TRBV7-9,TCRVB_024.1,949,759,339,836,117,13,215,585,294,266,1084,1050
Endogenous,TRGC2,ENST00000436911.1,372,551,569,280,1169,34,515,448,438,708,769,892
Endogenous,TSC2,NM_000548.3,441,85,148,433,140,36,148,130,334,290,190,190
Endogenous,UBA5,NM_198329.2,1317,113,188,1535,170,55,179,177,516,354,240,228
Endogenous,XCL1/2,NM_002995.2,804,148,363,1296,65,3,129,158,698,618,104,235
Endogenous,APC,NM_000038.3,180,45,70,183,80,31,71,71,143,132,104,93
Endogenous,CBR4,NM_032783.4,419,41,76,457,84,27,86,101,210,205,163,134
Endogenous,CD200,NM_005944.5,28,109,178,79,98,39,193,110,581,1091,122,179
Endogenous,CD80,NM_005191.3,274,58,116,334,56,6,53,72,239,368,87,70
Endogenous,COX16,NM_001204090.1,601,54,88,555,79,29,75,70,138,148,122,85
Endogenous,COX19,NM_001031617.2,139,40,57,128,57,42,62,61,141,123,80,68
Endogenous,CXCL13,NM_006419.2,8,923,1156,11,149,102,461,871,4018,1528,103,761
Endogenous,DVL2,NM_004422.2,356,42,74,376,70,26,64,72,170,140,88,77
Endogenous,IFI35,NM_005533.3,551,39,69,597,71,49,95,64,248,169,112,115
Endogenous,ITGAM,NM_000632.3,392,65,63,465,11,20,78,119,801,278,73,345
Endogenous,MR1,NM_001531.2,106,33,68,122,57,13,59,65,92,110,94,95
Endogenous,NDUFA2,NM_001185012.1,414,43,69,346,59,24,65,64,116,96,84,84
Endogenous,NOD2,NM_001293557.1,28,83,129,56,152,46,130,109,450,341,187,187
Endogenous,PDCD1,NM_005018.2,9,307,548,19,388,171,234,243,810,966,555,375
Endogenous,PDK3,NM_005391.1,469,49,164,442,89,29,86,72,210,197,120,91
Endogenous,PPARA,NM_001001928.2,169,50,56,189,75,23,86,63,208,143,108,105
Endogenous,PRKAB2,NM_005399.3,249,43,75,252,60,50,82,111,164,147,114,129
Endogenous,RNASEL,NM_021133.3,135,54,102,125,77,33,78,70,185,162,122,108
Endogenous,SLC2A1,NM_006516.2,295,46,87,347,81,16,63,71,186,112,110,113
Endogenous,SMURF1,NM_181349.1,196,53,83,218,71,30,68,92,217,175,84,102
Endogenous,TRAV12-1,TCRVA_018.1,545,82,13,441,251,39,76,238,211,118,75,258
Endogenous,TRAV16,TCRVA_024.1,494,37,83,423,62,14,325,112,477,182,89,75
Endogenous,TRAV2,TCRVA_003.1,923,913,35,992,183,27,271,195,1396,383,279,1129
Endogenous,TRAV22,TCRVA_030.1,305,103,25,352,95,6,108,208,289,220,82,238
Endogenous,TRAV38-1,TCRVA_042.1,703,447,54,704,114,32,143,83,362,266,258,182
Endogenous,TRBV18,TCRVB_039.1,302,90,15,308,64,12,62,348,1170,585,76,307
Endogenous,TRBV20-1,TCRVB_041.1,1189,168,41,1143,3592,33,298,590,1501,1073,344,648
Endogenous,TRBV27,TCRVB_044.1,812,68,24,823,69,3,601,146,2437,165,112,261
Endogenous,TRBV4-3,TCRVB_005.1,411,47,244,468,185,4402,46,84,230,92,412,161
Endogenous,TRBV7-8,TCRVB_023.1,759,54,494,726,57,21,83,151,110,113,299,171
Endogenous,TRGC1,ENST00000443402.1,81,67,78,79,103,7,116,44,130,157,217,114
Endogenous,TRGV2,ENST00000426402.1,56,268,75,37,427,36,153,170,202,537,450,152
Endogenous,VSIR,NM_022153.1,116,51,89,79,57,35,69,89,124,210,110,101
